code,name,hours_per_week,room_type,class_type,frequency,lecturer_email
PE-101B,Physical Education - Section B (Y1),2,lecture,lecture,weekly,i.kozlov@riverside.edu
PE-102A,Physical Education - Section A (Y2),2,lecture,lecture,weekly,h.svensson@riverside.edu
PE-102B,Physical Education - Section B (Y2),2,lecture,lecture,weekly,i.kozlov@riverside.edu
PE-103A,Physical Education - Section A (Y3),2,lecture,lecture,weekly,j.martins@riverside.edu
PE-103B,Physical Education - Section B (Y3),2,lecture,lecture,weekly,k.hoffmann@riverside.edu
PE-104A,Physical Education - Section A (Y4),2,lecture,lecture,weekly,j.martins@riverside.edu
PE-104B,Physical Education - Section B (Y4),2,lecture,lecture,weekly,k.hoffmann@riverside.edu
PE-105A,Physical Education - Section A (Y5),2,lecture,lecture,weekly,l.nkemdirim@riverside.edu
PE-105B,Physical Education - Section B (Y5),2,lecture,lecture,weekly,m.johansson@riverside.edu
CS-101A,Computer Studies - Section A (Y1),2,lab,lab,weekly,n.papadopoulos@riverside.edu
CS-101B,Computer Studies - Section B (Y1),2,lab,lab,weekly,o.adeyemi@riverside.edu
CS-102A,Computer Studies - Section A (Y2),2,lab,lab,weekly,n.papadopoulos@riverside.edu
CS-102B,Computer Studies - Section B (Y2),2,lab,lab,weekly,o.adeyemi@riverside.edu
CS-103A,Computer Studies - Section A (Y3),2,lab,lab,weekly,p.ramachandran@riverside.edu
CS-103B,Computer Studies - Section B (Y3),2,lab,lab,weekly,q.dubois@riverside.edu
CS-104A,Computer Studies - Section A (Y4),2,lab,lab,weekly,p.ramachandran@riverside.edu
CS-104B,Computer Studies - Section B (Y4),2,lab,lab,weekly,q.dubois@riverside.edu
CS-105A,Computer Studies - Section A (Y5),2,lab,lab,weekly,r.okonkwo@riverside.edu
CS-105B,Computer Studies - Section B (Y5),2,lab,lab,weekly,s.korhonen@riverside.edu
